Date,Confirmed,Recovered,Deaths,Hospitalized,Active,Effective
2020-02-25,1,0,0,0,1,1
2020-02-26,1,0,0,0,1,1
2020-02-27,1,0,0,0,1,1
2020-02-28,1,0,0,0,1,1
2020-02-29,1,0,0,0,1,1
2020-03-01,1,0,0,0,1,1
2020-03-02,3,0,0,0,3,3
2020-03-03,5,0,0,0,5,5
2020-03-04,17,0,0,0,17,17
2020-03-05,17,0,0,0,17,17
2020-03-06,17,0,0,0,17,17
2020-03-07,19,0,0,0,19,19
2020-03-08,20,0,0,0,20,20
2020-03-09,20,0,0,0,20,20
2020-03-10,20,0,0,0,20,20
2020-03-11,20,0,0,0,20,20
2020-03-12,25,10,1,0,14,25
2020-03-13,26,10,1,0,15,26
2020-03-14,35,12,2,0,21,35
2020-03-15,52,12,4,0,36,52
2020-03-16,58,12,4,0,42,58
2020-03-17,60,12,5,0,43,60
2020-03-18,72,22,6,0,44,72
2020-03-19,90,22,8,0,60,90
2020-03-20,102,22,8,0,72,102
2020-03-21,139,22,15,0,102,139
2020-03-22,201,23,17,0,161,201
2020-03-23,230,24,17,0,189,230
2020-03-24,264,24,19,0,221,264
2020-03-25,302,24,21,277,257,322
2020-03-26,367,24,25,277,318,326
2020-03-27,409,29,26,380,354,435
2020-03-28,454,31,29,380,394,440
2020-03-29,511,31,31,380,449,442
2020-03-30,584,37,35,354,512,426
2020-03-31,716,46,44,603,626,693
2020-04-01,847,61,58,705,728,824
2020-04-02,986,61,63,859,862,983
2020-04-03,1171,62,105,921,1004,1088
2020-04-04,1251,90,130,984,1031,1204
2020-04-05,1320,90,152,1048,1078,1290
2020-04-06,1423,90,173,1113,1160,1286
2020-04-07,1468,113,193,1179,1162,1485
2020-04-08,1572,237,205,1248,1130,1690
2020-04-09,1666,347,235,1704,1084,2286
2020-04-10,1761,405,256,1712,1100,2373
2020-04-11,1825,460,275,1712,1090,2447
2020-04-12,1914,591,293,1729,1030,2613
2020-04-13,1983,601,313,2679,1069,3593
2020-04-14,2070,691,326,2890,1053,3907
2020-04-15,2160,708,336,3213,1116,4257
2020-04-16,2268,783,348,3495,1137,4626
2020-04-17,2418,846,364,3635,1208,4845
2020-04-18,2534,894,367,4076,1273,5337
2020-04-19,2629,1047,375,4156,1207,5578
2020-04-20,2718,1099,384,4205,1235,5688
2020-04-21,2811,1152,392,4527,1267,6071
2020-04-22,2910,1204,402,4852,1304,6458
2020-04-23,3007,1355,407,5235,1245,6997
2020-04-24,3127,1408,415,5433,1304,7256
2020-04-25,3256,1479,419,5644,1358,7542
2020-04-26,3382,1508,425,5863,1449,7796
2020-04-27,3517,1558,432,6174,1527,8164
2020-04-28,3649,1651,437,6424,1561,8512
2020-04-29,3848,1702,444,6666,1702,8812
2020-04-30,4006,1779,450,6805,1777,9034
2020-05-01,4154,1821,453,7027,1880,9301
2020-05-02,4295,1872,459,7305,1964,9636
2020-05-03,4474,1936,463,7373,2075,9772
2020-05-04,4648,1998,465,7710,2185,10173
2020-05-05,4838,2067,470,7994,2301,10531
2020-05-06,4997,2197,476,8298,2324,10971
2020-05-07,5182,2323,483,8706,2376,11512
2020-05-08,5369,2467,488,8880,2414,11835
2020-05-09,5558,2546,494,9157,2518,12197
2020-05-10,5723,2678,502,9323,2543,12503
2020-05-11,5891,2841,507,9557,2543,12905
2020-05-12,6067,2998,515,9876,2554,13389
2020-05-13,6253,3058,522,10307,2673,13887
2020-05-14,6442,3158,529,10753,2755,14440
2020-05-15,6629,3271,536,11246,2822,15053
2020-05-16,6821,3409,542,11472,2870,15423
2020-05-17,7019,3507,548,11754,2964,15809
2020-05-18,7201,3625,555,12002,3021,16182
2020-05-19,7377,3746,561,12433,3070,16740
2020-05-20,7542,3968,568,12935,3006,17471
2020-05-21,7728,4062,575,13332,3091,17969
2020-05-22,7918,4256,582,13732,3080,18570
2020-05-23,8113,4462,592,14059,3059,19113
2020-05-24,8306,4578,600,14776,3128,19954